Gene ID	source_id	sense - ring	sense - schizont	sense - troph	antisense - ring	antisense - schizont	antisense - troph	sense - Late Trophozoite	sense - Schizont	sense - Gametocyte II	sense - Gametocyte V	sense - asexual blood stages	sense - midgut oocysts	sense - salivary gland sporozoites	sense - 40-5 hours post-invasion	sense - 2-10 hours post-invasion	sense - 7-15 hours post-invasion	sense - 12-20 hours post-invasion	sense - 17-25 hours post-invasion	sense - 32-40 hours post-invasion	sense - 27-35 hours post-invasion	sense - 22-30 hours post-invasion	sense - T05	sense - T10	sense - T15	sense - T20	sense - T30	sense - T25	sense - T35	sense - T40
PF3D7_0102800	PF3D7_0102800.1	1.36	6.36	18.6	1.84	1.73	3.37	6.69	2.83	2.81	1.16	1.41	1.5	2.27	2.48	0.61	0.56	1.15	5.67	36.1	39.61	19.22	9.13	1.8	1.54	2.68	76.89	24.18	76.85	45.64
PF3D7_0102900	PF3D7_0102900.1	186.53	78.44	353.78	13.4	7.37	30.32	47.77	21.19	9.86	12.64	45.36	31.45	1.89	22.61	87.36	156.99	197.35	322.03	107.69	204.57	295.9	48.95	148.61	309.26	441.42	471.22	543.01	328.83	139.73
PF3D7_0103000	PF3D7_0103000.1	6.46	47.28	26.68	2.46	6.66	6.05	23.21	17.73	17.77	9.04	3.69	8.41	3.81	9.34	2.11	1.7	1.45	2.47	41.31	22.27	9.46	25.29	6.62	2.21	2.39	22.84	8.02	37.8	89.76
PF3D7_0103100	PF3D7_0103100.1	8.41	27.87	30.56	1.13	4.31	6.94	1.3	10.6	1.11	3.04	7.39	3.92	1.91	4.89	1.96	1.74	1.83	6.63	26	16.8	10.45	15.55	4.4	2.7	7.05	31.09	20.41	47.75	55.18
PF3D7_0103200	PF3D7_0103200.1	68.42	86.93	367.02	23.38	100.51	98.1	239.04	55.66	191.67	16.3	28.34	37.23	2.43	17.68	53.41	144.83	166.9	428.49	204.38	489.23	512.37	45.17	83.96	238.45	497.68	904.02	855.91	719.03	232
PF3D7_0103300	PF3D7_0103300.1	108.15	60.99	81.48	21.84	11.85	18.3	2.49	27.22	2.54	7.56	8.33	5.94	3.53	62.18	59.98	78.74	75.94	70.9	49.43	52.94	58.38	86.92	97.75	128.91	127.85	103.33	105.75	92.94	77.04
PF3D7_0103400	PF3D7_0103400.1	47.45	125.68	103.6	6.56	18.02	14.05	4.02	83.22	4.92	32.19	45.3	23.22	22.13	189.88	51.32	21.01	26.45	117.66	89.32	138.71	150.41	258.47	134.65	29.89	85.12	246.97	230.18	202.75	138.52
PF3D7_0103500	PF3D7_0103500.1	2.59	6.79	12.41	0.73	0.41	2.01	0.77	6.59	0.91	3.3	4.16	2.38	3.4	7.37	2.3	1.15	1.81	2.41	9.62	19.17	12.91	13.85	5.35	1.72	3.9	31.64	11.92	33.89	16.68
PF3D7_0103600	PF3D7_0103600.1	5.57	10.25	43.24	1.84	1.5	4.23	1.78	14.56	2.2	3.16	6.62	2.86	7.24	14.36	7.94	14.75	23.76	78.82	42.41	76.63	80.22	26.29	15.58	24.12	73.02	146.1	157.3	127.49	65.47
PF3D7_0103700	PF3D7_0103700.1	27.22	12.93	30.44	4.11	1.16	4.83	7.01	5.62	6.53	4	6.62	2.41	25.8	7.09	16.19	30.13	25.59	38.06	29.7	35.94	35.28	20.02	39.51	65.02	82.79	71.99	68.15	71.64	47.76
PF3D7_0103800	PF3D7_0103800.1	10.42	44.26	16.29	13.78	12.6	17.28	23.6	32.35	124.39	132.87	56.03	7.91	5.24	15.57	9.4	4.13	2.86	2.2	28.43	6.52	2.45	7.84	7.03	4.99	2.74	3.44	2.78	6.48	30.43
PF3D7_0103900	PF3D7_0103900.1	20.14	51.86	154.69	4.59	6.73	22.42	32.18	18.92	11.13	16.5	29.26	27.04	2.28	5.28	3.92	9.21	17.41	46.58	68.99	88.85	70.26	12.35	5.96	17.82	53.9	155.21	98.07	149.92	79.65
PF3D7_0104000	PF3D7_0104000.1	2.18	7.85	5.84	1.09	16.2	0	6.31	10.61	4.4	2.8	4.98	3.63	1768.07	1.93	0.26	0	0	2.42	3.75	3.44	0	1.15	0	0.57	0	3.05	0.83	3.93	8.81
PF3D7_0104100	PF3D7_0104100.1	6.49	61.77	15.13	7.51	15.68	4.32	3.17	78.76	0.4	5.51	8.33	1.08	332.94	21.72	3.36	1.29	0.55	0.61	75.18	9.62	0.89	28.85	5.56	1.23	0.33	2.04	0.33	27.74	87.73
PF3D7_0104200	PF3D7_0104200.1	539.48	1268.94	295.89	54.58	118.48	25.26	132.24	130.54	27.38	8.51	12.26	7.73	60.53	1159.18	407.76	75.75	39.13	130.86	139.57	141.76	170.91	1473.45	634.91	74.85	99.39	219.2	217.91	226.56	308.3
PF3D7_0104300	PF3D7_0104300.1	199.8	118.69	32.08	32.5	14.32	4.98	2.35	54.65	3.34	4.69	23.61	4.81	17.26	874.39	562.79	347.48	197.71	168.4	72.02	97.8	130	1284.88	1047.62	492.45	283.55	167.11	232.05	150.32	117.73
PF3D7_0104400	PF3D7_0104400.1	30.91	66.44	120.51	12.34	6.69	17.87	11.43	43.23	14.56	47.17	41.24	21.81	23.27	43.38	20.67	14.48	12.68	47.68	79.7	92.71	69.27	75.92	48.93	21.6	37.27	124.55	78.04	141.46	102.78
PF3D7_0104500	PF3D7_0104500.1	135.65	30.65	280.5	10.73	4.11	23.89	68.01	7.34	39.8	12.58	45.22	50.54	8.26	6.48	42.65	101.18	116.19	190.41	42.45	154.03	206.67	11.81	82.92	224.13	357.67	422.67	467.77	248.12	58.82
PF3D7_0104600	PF3D7_0104600.1	6.55	2.03	12.37	0.81	0	0.25	0.88	1.75	1.07	0.79	2.8	1.18	0.52	1.22	3.59	6.46	6.84	14.06	5.17	11.87	15.16	2.03	6.26	12.77	20.11	28.99	24.3	11.93	10.04
PF3D7_0104700	PF3D7_0104700.1	0	0.16	0.56	0	1.13	0	0.1	0.46	1.62	2.81	4.73	0.43	0.98	0.06	0.24	0.13	0	0.56	0.37	0.67	0.31	0.13	0.8	1.05	0.88	1.41	1.25	0.6	4.51
PF3D7_0104800	PF3D7_0104800.1	44.58	191.2	150.43	17.57	23.76	18.2	92.89	66.71	1.92	0.6	3.06	22.13	153.25	45.76	8.5	3.06	0.48	9.34	39.76	50.64	32.81	89.58	24.67	2.82	1.14	75.53	37.77	99.09	91.43
PF3D7_0104900	PF3D7_0104900.1	421.1	232.51	349.55	25.33	7.52	11.27	77.3	9.53	143.32	16.63	376.08	460.98	662.1	40.07	33.31	41.69	17.46	22.73	44.74	51.09	43.06	157.87	165.74	116.99	98.87	126.76	99.34	149.85	87.6
