Number	Proteins	avg_spearman	size	avg_spearman_random	significant	large
24	{'Q8IKP1', 'O97285', 'Q8I5H4', 'O97306', 'Q8IK89', 'Q8ILZ7'}	0.2684400656814449	6	0.4217450542377143	False	True
25	{'Q7KQL5', 'Q8IFP2', 'Q8IC05', 'Q76NM6', 'Q8I320', 'Q8IJS2'}	0.36052545155993426	6	0.43472648569471206	False	True
26	{'Q7KQL8', 'Q8ILX1', 'Q8IL80', 'Q8IAM2'}	0.6013957307060754	4	0.3964603995676424	True	True
27	{'Q8I492', 'Q8I6U6', 'C0H516', 'Q8IHR8', 'Q76NM4'}	0.3102463054187191	5	0.3931982337025196	False	True
28	{'Q8I3A1', 'P61074', 'C0H4U4', 'Q7KQJ9', 'Q8I467'}	0.45448275862068954	5	0.415062880467724	True	True
29	{'O97320', 'Q8IB31'}	0.49655172413793097	2	0.40698619039528444	True	False
30	{'Q8I3Y6', 'Q8IBZ4', 'Q8ILS7', 'Q8IBR6', 'Q8I3A4', 'C0H4C7', 'Q8II82'}	0.7596330342031379	7	0.4077939961761652	True	True
31	{'C6KTA3', 'C6KSV2', 'A0A5K1K967', 'Q8IL48'}	0.8584564860426928	4	0.40754690373752334	True	True
32	{'C6S3G2', 'O96252', 'C6KT09', 'Q8I3N3'}	0.6178160919540229	4	0.4028840467421157	True	True
33	{'Q8I5L6', 'Q8I1S0', 'Q8I5B3', 'O96221', 'Q8ILX1', 'Q8IB60'}	0.6438752052545154	6	0.41391556508446636	True	True
34	{'Q8IKS0', 'Q8IM24', 'Q8IKW0', 'Q8IK83'}	0.5822121508355959	4	0.40250949130937985	True	True
35	{'Q8IIR8', 'P27362', 'Q8IE67'}	0.24581280788177332	3	0.4158230944096517	False	True
36	{'C6S3I6', 'Q8I5Q3', 'Q8I3A1', 'Q8II42'}	0.7511600969548597	4	0.34601844014271577	True	True
37	{'Q8IEU2', 'Q8I3X4', 'Q8I5B6', 'A0A5K1K9E5', 'Q8III8'}	0.24561576354679798	5	0.3719162481795598	False	True
38	{'Q8I274', 'Q8IIK8', 'C0H516', 'Q8I3W9', 'Q76NM4', 'A0A5K1K8H7'}	0.601247947454844	6	0.4369902899326463	True	True
39	{'C0H4V6', 'Q8ILB6', 'Q8I546', 'O77389'}	0.5826765188834153	4	0.43071020953916384	True	True
40	{'C0H4W2', 'Q8I3Q7', 'Q8IIT3', 'Q8I5V6'}	0.7723316912972084	4	0.4097465876119413	True	True
41	{'Q8IHY0', 'Q8IDE7', 'Q8IC01', 'A0A5K1K8Y8'}	0.7861247947454842	4	0.4288073461342543	True	True
42	{'Q8IBS3', 'Q8ILP6', 'Q8IIA4', 'Q8IDK7', 'Q8IL94', 'Q8IDZ9'}	0.6517880334330534	6	0.4030414514795153	True	True
43	{'Q8IM15', 'Q8IM16'}	0.6147783251231526	2	0.3894653979532718	True	False
44	{'Q8IJ56', 'Q8ILP3', 'Q8I2G1', 'Q8I544'}	0.7038107939934141	4	0.387596641308455	True	True
45	{'Q8ILE3', 'Q8I2Q0'}	0.7448275862068964	2	0.4384653576772042	True	False
46	{'Q8IL86', 'Q8I2W2', 'Q8IEC8', 'Q8IAU7'}	0.7774220032840721	4	0.393210475035631	True	True
47	{'Q76NM4', 'C0H516', 'Q7K6A5', 'Q8IHR8'}	0.49080459770114926	4	0.4219977096883717	True	True
48	{'Q8IIG6', 'Q8IJI7', 'Q7KQM0', 'Q7KQL9', 'C6KT50', 'Q8ID43'}	0.5108374384236452	6	0.4111200194986222	True	True
49	{'Q8I5Y9', 'Q8I5H2', 'C0H4V6', 'Q8IDN4', 'Q8ILB6', 'Q8ILI6'}	0.5186206896551723	6	0.39729244519074447	True	True
50	{'Q8IDN6', 'Q8I623', 'O97319', 'Q8I431', 'O97249', 'Q8IJ34'}	0.5863054187192117	6	0.4035270833337619	True	True
51	{'A0A143ZX41', 'Q8I487'}	0.17733990147783246	2	0.41439823765037687	False	False
52	{'Q8I2J3', 'Q8IDE7', 'Q8IC01', 'Q8IHY0'}	0.6623152709359604	4	0.3652421732561864	True	True
53	{'Q8IJT0', 'Q8IM26'}	-0.0881773399014778	2	0.4056716205584622	False	False
54	{'Q8I5H2', 'Q8I608', 'Q8IIR9', 'Q7KQK6'}	0.52807881773399	4	0.3766582993781601	True	True
55	{'Q8ILF6', 'Q8ILF4'}	0.882758620689655	2	0.40728169597551994	True	False
56	{'Q8I485', 'Q8IKC8', 'Q8IK07', 'Q8IEB8'}	0.2123152709359605	4	0.4199163468327117	False	True
57	{'Q8ILQ7', 'Q8IIG6', 'Q6ZLZ9', 'Q8I374', 'Q76NN6', 'C6KT76'}	0.45408866995073877	6	0.4330906646200707	True	True
58	{'Q8IKA6', 'Q8IM55', 'Q76NN6', 'Q7KQK6'}	0.7558292282430212	4	0.4108358682895996	True	True
59	{'Q8I2X3', 'A0A143ZZK9', 'Q8IM15', 'A0A5K1K8W5', 'Q8IBN4', 'Q8I0V2'}	0.15422003284072247	6	0.4067297681292772	False	True
60	{'Q8I252', 'Q8IM24', 'Q8IKW0', 'Q8IKS0'}	0.5077370650503644	4	0.4088619830785508	True	True
61	{'Q8IIR8', 'P50250', 'Q8ILT0', 'Q8IE67'}	0.11658456486042691	4	0.39082772481076	False	True
62	{'Q8IKA6', 'Q7KQK6', 'Q76NN6', 'C0H586'}	0.5003284072249589	4	0.39321742509695995	True	True
63	{'Q8I6U7', 'Q8IIR8', 'P27362', 'Q8I3X4', 'P50250', 'C6KT25', 'Q8IKT2', 'Q8IJN9'}	0.3723786066150597	8	0.39944851341408294	False	True
64	{'C0H551', 'Q8I2W4'}	0.8605911330049258	2	0.4066690683043245	True	False
65	{'Q8III5', 'Q76NL8'}	0.599014778325123	2	0.416489647251235	True	False
66	{'Q8II92', 'Q8I3A1', 'P61074', 'C6S3I6', 'Q8II42'}	0.8738847114070276	5	0.40800816929298306	True	True
67	{'Q8I5H4', 'O97306', 'O97266', 'Q8IK89', 'Q8ILZ7'}	0.31724137931034474	5	0.3857165891000951	False	True
68	{'A0A144A0F5', 'Q8IKA6', 'Q76NN6', 'Q7KQK6'}	0.6701970443349752	4	0.40717615262981766	True	True
69	{'Q8IIB6', 'Q8IKA6', 'Q76NN6', 'Q7KQK6'}	0.8133004926108374	4	0.39508306071529176	True	True
70	{'Q8IBM9', 'Q8I2U5', 'Q8IKW5', 'Q8IB60', 'Q8IFP3'}	0.4176354679802955	5	0.41080344346776804	True	True
71	{'Q8IKA6', 'Q76NN6', 'Q7KQK0', 'Q7KQK6'}	0.38899835796387516	4	0.36482923809555756	True	True
72	{'Q8IL75', 'Q8IJC6', 'Q8I3N3', 'Q8I6T2', 'Q8I2I2'}	0.6054679802955664	5	0.3963848437744681	True	True
73	{'Q8IKA6', 'Q76NN6', 'Q8IHW4', 'Q7KQK6'}	0.8206896551724135	4	0.39161579749438	True	True
74	{'Q8IM24', 'Q8IKW0', 'Q8I3X7', 'Q8IKS0'}	0.3215189551059188	4	0.3980322187721997	False	True
75	{'Q8IKA6', 'Q76NN6', 'Q8IAW0', 'Q7KQK6'}	0.8223316912972084	4	0.4326493717265918	True	True
76	{'Q8IJN8', 'Q8IM38'}	0.9704433497536943	2	0.3587481650048303	True	False
77	{'Q7KQL5', 'Q8IKF0', 'Q8I463', 'A0A144A1R5', 'Q8IBG1', 'Q8I0V4', 'C0H4H6', 'Q9TY94', 'Q8IC05'}	0.23013136288998354	9	0.4183065920249085	False	True
78	{'Q8IKC8', 'Q8IC43', 'Q8IEU2', 'Q8IL75', 'Q8IM52', 'Q8II72', 'Q8IBN4', 'Q8IJ76'}	0.2873401173166383	8	0.3880581278321689	False	True
79	{'Q8II64', 'Q8I305'}	0.5068965517241378	2	0.41597178528968753	True	False
80	{'O97306', 'Q8I3S3', 'Q8IK89', 'Q8ILZ7'}	0.3907897342252715	4	0.40139410076475845	False	True
81	{'Q9NLB2', 'Q8IAM2', 'Q8IL80', 'Q7KQL8'}	0.6518883415435138	4	0.3779063971020868	True	True
82	{'Q8ILK1', 'Q8IKA6', 'Q76NN6', 'Q7KQK6'}	0.814942528735632	4	0.41644990123023923	True	True
83	{'Q8IKV9', 'P62203'}	0.5172413793103448	2	0.475231650996103	True	False
